Date,Stage,Day,ClosedWorkOrders
2025-01-01,Baseline,Wednesday,135.842
2025-01-02,Baseline,Thursday,124.818
2025-01-03,Baseline,Friday,123.794
2025-01-04,Baseline,Saturday,125.385
2025-01-05,Baseline,Sunday,115.019
2025-01-06,Baseline,Monday,127.962
2025-01-07,Baseline,Tuesday,127.654
2025-01-08,Baseline,Wednesday,133.007
2025-01-09,Baseline,Thursday,123.488
2025-01-10,Baseline,Friday,128.767
2025-01-11,Baseline,Saturday,118.091
2025-01-12,Baseline,Sunday,111.295
2025-01-13,Baseline,Monday,123.404
2025-01-14,Baseline,Tuesday,129.094
2025-01-15,Baseline,Wednesday,129.271
2025-01-16,Baseline,Thursday,125.063
2025-01-17,Baseline,Friday,116.715
2025-01-18,Baseline,Saturday,114.966
2025-01-19,Baseline,Sunday,116.335
2025-01-20,Baseline,Monday,121.543
2025-01-21,Baseline,Tuesday,125.547
2025-01-22,Baseline,Wednesday,125.293
2025-01-23,Baseline,Thursday,127.634
2025-01-24,Baseline,Friday,119.453
2025-01-25,Baseline,Saturday,112.32
2025-01-26,Baseline,Sunday,114.932
2025-01-27,Baseline,Monday,123.913
2025-01-28,Baseline,Tuesday,129.832
2025-01-29,Baseline,Wednesday,134.078
2025-01-30,Baseline,Thursday,126.551
2025-01-31,Baseline,Friday,128.858
2025-02-01,Define,Saturday,118.31
2025-02-02,Define,Sunday,123.392
2025-02-03,Define,Monday,151.227
2025-02-04,Define,Tuesday,150.347
2025-02-05,Define,Wednesday,144.776
2025-02-06,Define,Thursday,150.27
2025-02-07,Define,Friday,136.507
2025-02-08,Measure,Saturday,133.594
2025-02-09,Measure,Sunday,121.239
2025-02-10,Measure,Monday,144.046
2025-02-11,Measure,Tuesday,136.959
2025-02-12,Measure,Wednesday,148.707
2025-02-13,Measure,Thursday,144.095
2025-02-14,Measure,Friday,128.958
2025-02-15,Measure,Saturday,128.735
2025-02-16,Measure,Sunday,125.334
2025-02-17,Measure,Monday,134.159
2025-02-18,Measure,Tuesday,138.273
2025-02-19,Measure,Wednesday,145.4
2025-02-20,Measure,Thursday,142.257
2025-02-21,Measure,Friday,126.563
2025-02-22,Analyze,Saturday,134.344
2025-02-23,Analyze,Sunday,124.004
2025-02-24,Analyze,Monday,143.364
2025-02-25,Analyze,Tuesday,140.691
2025-02-26,Analyze,Wednesday,151.857
2025-02-27,Analyze,Thursday,154.39
2025-02-28,Analyze,Friday,151.989
2025-03-01,Analyze,Saturday,138.067
2025-03-02,Analyze,Sunday,133.041
2025-03-03,Analyze,Monday,149.85
2025-03-04,Analyze,Tuesday,158.549
2025-03-05,Analyze,Wednesday,162.673
