Date,Stage,Day,ResolvedAlerts
2025-01-01,Baseline,Wednesday,510.864
2025-01-02,Baseline,Thursday,509.511
2025-01-03,Baseline,Friday,520.496
2025-01-04,Baseline,Saturday,491.503
2025-01-05,Baseline,Sunday,484.843
2025-01-06,Baseline,Monday,527.24
2025-01-07,Baseline,Tuesday,531.566
2025-01-08,Baseline,Wednesday,534.31
2025-01-09,Baseline,Thursday,521.097
2025-01-10,Baseline,Friday,524.407
2025-01-11,Baseline,Saturday,505.642
2025-01-12,Baseline,Sunday,516.876
2025-01-13,Baseline,Monday,529.278
2025-01-14,Baseline,Tuesday,529.579
2025-01-15,Baseline,Wednesday,534.452
2025-01-16,Baseline,Thursday,522.933
2025-01-17,Baseline,Friday,499.461
2025-01-18,Baseline,Saturday,497.648
2025-01-19,Baseline,Sunday,483.877
2025-01-20,Baseline,Monday,525.065
2025-01-21,Baseline,Tuesday,515.706
2025-01-22,Baseline,Wednesday,520.824
2025-01-23,Baseline,Thursday,507.243
2025-01-24,Baseline,Friday,506.65
2025-01-25,Baseline,Saturday,504.034
2025-01-26,Baseline,Sunday,502.447
2025-01-27,Baseline,Monday,519.755
2025-01-28,Baseline,Tuesday,521.31
2025-01-29,Baseline,Wednesday,537.085
2025-01-30,Baseline,Thursday,523.729
2025-01-31,Baseline,Friday,515.861
2025-02-01,Define,Saturday,517.107
2025-02-02,Define,Sunday,503.368
2025-02-03,Define,Monday,548.177
2025-02-04,Define,Tuesday,555.673
2025-02-05,Define,Wednesday,547.0
2025-02-06,Define,Thursday,534.744
2025-02-07,Define,Friday,529.82
2025-02-08,Measure,Saturday,530.005
2025-02-09,Measure,Sunday,517.595
2025-02-10,Measure,Monday,552.172
2025-02-11,Measure,Tuesday,546.056
2025-02-12,Measure,Wednesday,543.043
2025-02-13,Measure,Thursday,535.925
2025-02-14,Measure,Friday,523.941
2025-02-15,Measure,Saturday,511.868
2025-02-16,Measure,Sunday,512.753
2025-02-17,Measure,Monday,542.503
2025-02-18,Measure,Tuesday,536.366
2025-02-19,Measure,Wednesday,528.665
2025-02-20,Measure,Thursday,525.361
2025-02-21,Measure,Friday,514.5
2025-02-22,Analyze,Saturday,496.059
2025-02-23,Analyze,Sunday,510.909
2025-02-24,Analyze,Monday,535.651
2025-02-25,Analyze,Tuesday,561.205
2025-02-26,Analyze,Wednesday,544.553
2025-02-27,Analyze,Thursday,535.16
2025-02-28,Analyze,Friday,541.145
2025-03-01,Analyze,Saturday,528.875
2025-03-02,Analyze,Sunday,535.638
2025-03-03,Analyze,Monday,560.5
2025-03-04,Analyze,Tuesday,578.669
2025-03-05,Analyze,Wednesday,559.081
