Date,Stage,Day,ResolvedStudentTickets
2025-01-01,Baseline,Wednesday,282.873
2025-01-02,Baseline,Thursday,277.297
2025-01-03,Baseline,Friday,275.02
2025-01-04,Baseline,Saturday,258.648
2025-01-05,Baseline,Sunday,254.276
2025-01-06,Baseline,Monday,281.042
2025-01-07,Baseline,Tuesday,285.033
2025-01-08,Baseline,Wednesday,291.412
2025-01-09,Baseline,Thursday,290.378
2025-01-10,Baseline,Friday,274.629
2025-01-11,Baseline,Saturday,257.015
2025-01-12,Baseline,Sunday,262.052
2025-01-13,Baseline,Monday,287.462
2025-01-14,Baseline,Tuesday,291.858
2025-01-15,Baseline,Wednesday,285.939
2025-01-16,Baseline,Thursday,275.157
2025-01-17,Baseline,Friday,277.78
2025-01-18,Baseline,Saturday,261.756
2025-01-19,Baseline,Sunday,257.709
2025-01-20,Baseline,Monday,281.634
2025-01-21,Baseline,Tuesday,279.102
2025-01-22,Baseline,Wednesday,283.265
2025-01-23,Baseline,Thursday,270.719
2025-01-24,Baseline,Friday,281.993
2025-01-25,Baseline,Saturday,255.026
2025-01-26,Baseline,Sunday,257.339
2025-01-27,Baseline,Monday,286.784
2025-01-28,Baseline,Tuesday,289.419
2025-01-29,Baseline,Wednesday,302.384
2025-01-30,Baseline,Thursday,288.651
2025-01-31,Baseline,Friday,281.849
2025-02-01,Define,Saturday,269.382
2025-02-02,Define,Sunday,275.102
2025-02-03,Define,Monday,296.912
2025-02-04,Define,Tuesday,304.281
2025-02-05,Define,Wednesday,294.868
2025-02-06,Define,Thursday,297.131
2025-02-07,Define,Friday,304.507
2025-02-08,Measure,Saturday,276.01
2025-02-09,Measure,Sunday,284.415
2025-02-10,Measure,Monday,300.044
2025-02-11,Measure,Tuesday,304.727
2025-02-12,Measure,Wednesday,305.676
2025-02-13,Measure,Thursday,294.237
2025-02-14,Measure,Friday,289.716
2025-02-15,Measure,Saturday,276.718
2025-02-16,Measure,Sunday,265.868
2025-02-17,Measure,Monday,292.889
2025-02-18,Measure,Tuesday,299.878
2025-02-19,Measure,Wednesday,298.388
2025-02-20,Measure,Thursday,290.743
2025-02-21,Measure,Friday,288.725
2025-02-22,Analyze,Saturday,276.562
2025-02-23,Analyze,Sunday,273.231
2025-02-24,Analyze,Monday,284.891
2025-02-25,Analyze,Tuesday,302.28
2025-02-26,Analyze,Wednesday,310.914
2025-02-27,Analyze,Thursday,292.833
2025-02-28,Analyze,Friday,310.364
2025-03-01,Analyze,Saturday,285.819
2025-03-02,Analyze,Sunday,281.665
2025-03-03,Analyze,Monday,311.928
2025-03-04,Analyze,Tuesday,314.892
2025-03-05,Analyze,Wednesday,333.537
