vendor,beginning_balance,jan_adds,jan_amortization,jan_ending_balance,feb_adds,feb_amortization,feb_ending_balance,mar_adds,mar_amortization,mar_ending_balance,apr_adds,apr_amortization,apr_ending_balance,amortization_months,comments,account_number
ADOBE MAGENTO,0,10377.75,1729.625,8648.125,0,1729.625,6918.5,0,1729.625,5188.875,0,1729.625,3459.25,6,IT Services,6760
ADOBE MAGENTO,0,402,67,335,0,67,268,0,67,201,0,67,134,6,IT Services,6760
ALTAIR,0,17302.38,2883.73,14418.650000000001,0,2883.73,11534.920000000002,0,2883.73,8651.190000000002,0,2883.73,5767.460000000003,6,IT Services,6760
AMESITE,0,11250,1875,9375,0,1875,7500,0,1875,5625,0,1875,3750,6,IT Services,6760
CDW,0,46629.17,7771.528333333333,38857.64166666666,0,7771.528333333333,31086.11333333333,0,7771.528333333333,23314.585,0,7771.528333333333,15543.056666666667,6,IT Services,6760
CDW,0,1156.73,192.78833333333333,963.9416666666667,0,192.78833333333333,771.1533333333334,0,192.78833333333333,578.3650000000001,0,192.78833333333333,385.5766666666668,6,IT Services,6760
CDW,0,11969.99,1994.9983333333332,9974.991666666667,0,1994.9983333333332,7979.993333333334,0,1994.9983333333332,5984.995000000001,0,1994.9983333333332,3989.996666666668,6,IT Services,6760
CDW,0,6486.77,1081.1283333333333,5405.641666666667,0,1081.1283333333333,4324.513333333334,0,1081.1283333333333,3243.385000000001,0,1081.1283333333333,2162.256666666668,6,IT Services,6760
CDW,0,31146.78,5191.13,25955.649999999998,0,5191.13,20764.519999999997,0,5191.13,15573.389999999996,0,5191.13,10382.259999999995,6,IT Services,6760
CDW,0,0,0,0,3968.47,661.4116666666666,3307.0583333333334,0,661.4116666666666,2645.6466666666665,0,661.4116666666666,1984.235,6,IT Services,6760
CDW,0,0,0,0,0,0,0,54323.43,9053.905,45269.525,0,9053.905,36215.62,6,IT Services,6760
CDW,0,0,0,0,0,0,0,31092.5,5182.083333333333,25910.416666666668,0,5182.083333333333,20728.333333333336,6,IT Services,6760
CIMSOURCE,0,4900,816.6666666666666,4083.3333333333335,0,816.6666666666666,3266.666666666667,0,816.6666666666666,2450.0000000000005,0,816.6666666666666,1633.333333333334,6,IT Services,6760
CISCO,0,28158,4693,23465,0,4693,18772,0,4693,14079,0,4693,9386,6,Subscription,6762
Connection Business,0,0,0,0,0,0,0,53798.4,8966.4,44832,0,8966.4,35865.6,6,Subscription,6762
Global Services,0,0,0,0,0,0,0,0,0,0,81000,13500,67500,6,Technical Services Fee,7001
Expertek,0,0,0,0,9861.82,1643.6366666666665,8218.183333333332,0,1643.6366666666665,6574.546666666666,0,1643.6366666666665,4930.91,6,Subscription,6762
Ex Quanta Inc,0,0,0,0,0,0,0,9225,1537.5,7687.5,0,1537.5,6150,6,Subscription,6762
Ex Quanta Inc,0,0,0,0,0,0,0,9225,1537.5,7687.5,0,1537.5,6150,6,Subscription,6762
Ex Quanta Inc,0,0,0,0,0,0,0,9225,1537.5,7687.5,0,1537.5,6150,6,Subscription,6762
High Radius,0,0,0,0,0,0,0,0,0,0,10000,1666.6666666666667,8333.333333333334,6,Subscription,6762
High Radius,0,0,0,0,0,0,0,0,0,0,31792,5298.666666666667,26493.333333333332,6,Subscription,6762
INFOR,0,29404.1,4900.683333333333,24503.416666666664,0,4900.683333333333,19602.73333333333,0,4900.683333333333,14702.049999999996,0,4900.683333333333,9801.366666666661,6,Subscription,6762
INFOR,0,275000,45833.333333333336,229166.66666666666,0,45833.333333333336,183333.3333333333,0,45833.333333333336,137499.99999999997,0,45833.333333333336,91666.66666666663,6,Subscription,6762
Infopercept,0,2833.33,472.22166666666664,2361.108333333333,0,472.22166666666664,1888.8866666666665,0,472.22166666666664,1416.665,0,472.22166666666664,944.4433333333334,6,IT Services,6760
Magento,0,0,0,0,0,0,0,0,0,0,19601.98,3266.9966666666664,16334.983333333334,6,IT Services,6760
Punchout2Go,0,0,0,0,0,0,0,16800,2800,14000,0,2800,11200,6,IT Services,6760
SENTINEL,0,26276,4379.333333333333,21896.666666666668,0,4379.333333333333,17517.333333333336,0,4379.333333333333,13138.000000000004,0,4379.333333333333,8758.666666666672,6,IT Services,6760
Synergetic Data Systems,0,2725.53,454.25500000000005,2271.275,0,454.25500000000005,1817.02,0,454.25500000000005,1362.7649999999999,0,454.25500000000005,908.5099999999998,6,IT Services,6760
TheUserGroup.org,0,859,143.16666666666666,715.8333333333334,0,143.16666666666666,572.6666666666667,0,143.16666666666666,429.5000000000001,0,143.16666666666666,286.3333333333335,6,IT Services,6760
Trac Trenching,0,5000,833.3333333333334,4166.666666666667,0,833.3333333333334,3333.3333333333335,0,833.3333333333334,2500,0,833.3333333333334,1666.6666666666665,6,IT Services,6760
TradeCentric LLC,0,3351.249999999999,558.5416666666665,2792.7083333333326,0,558.5416666666665,2234.166666666666,0,558.5416666666665,1675.6249999999995,0,558.5416666666665,1117.083333333333,6,Building Maintenance,6020
TradeCentric LLC,0,1537.5,256.25,1281.25,0,256.25,1025,0,256.25,768.75,0,256.25,512.5,6,Building Maintenance,6020
TradeCentric LLC,0,451.73,75.28833333333334,376.44166666666666,0,75.28833333333334,301.1533333333333,0,75.28833333333334,225.86499999999995,0,75.28833333333334,150.5766666666666,6,Building Maintenance,6020
UHY,0,0,0,0,0,0,0,0,0,0,28000,4666.666666666667,23333.333333333332,6,Advising,6600
UHY,0,0,0,0,0,0,0,0,0,0,56000,9333.333333333334,46666.666666666664,6,Advising,6600
Value Labs,0,3726.67,621.1116666666667,3105.5583333333334,0,621.1116666666667,2484.4466666666667,0,621.1116666666667,1863.335,0,621.1116666666667,1242.2233333333334,6,IT Services,6760
White Rock Cyber,0,69771.73,11628.621666666666,58143.10833333333,0,11628.621666666666,46514.486666666664,0,11628.621666666666,34885.865,0,11628.621666666666,23257.243333333332,6,Subscription,6762
White Rock Cyber,0,0,0,0,0,0,0,0,0,0,31556.78,5259.463333333333,26297.316666666666,6,Subscription,6762
White Rock Cyber,0,0,0,0,0,0,0,0,0,0,8964,1494,7470,6,Subscription,6762
ZOHO Corporation,0,32005.42,5334.236666666667,26671.18333333333,0,5334.236666666667,21336.946666666663,0,5334.236666666667,16002.709999999995,0,5334.236666666667,10668.473333333328,6,IT Services,6760
