vendor,beginning_balance,jan_adds,jan_amortization,jan_ending_balance,feb_adds,feb_amortization,feb_ending_balance,mar_adds,mar_amortization,mar_ending_balance,apr_adds,apr_amortization,apr_ending_balance,amortization_months,comments,account_number
Good Insurance,0,88270.75,7355.895833333333,80914.85416666667,0,7355.895833333333,73558.95833333334,0,7355.895833333333,66203.06250000001,0,7355.895833333333,58847.16666666668,12,Insurance Policy,5400
Good Insurance,0,39128,3260.6666666666665,35867.333333333336,0,3260.6666666666665,32606.666666666668,0,3260.6666666666665,29346,0,3260.6666666666665,26085.333333333332,12,Insurance Policy,5400
Good Insurance,0,73254.95,6104.579166666666,67150.37083333333,0,6104.579166666666,61045.79166666667,0,6104.579166666666,54941.21250000001,0,6104.579166666666,48836.633333333346,12,Insurance Policy,5400
Good Insurance,0,23800,1983.3333333333333,21816.666666666668,0,1983.3333333333333,19833.333333333336,0,1983.3333333333333,17850.000000000004,0,1983.3333333333333,15866.66666666667,12,Insurance Policy,5400
Good Insurance,0,11864.44,988.7033333333334,10875.736666666668,0,988.7033333333334,9887.033333333335,0,988.7033333333334,8898.330000000002,0,988.7033333333334,7909.626666666669,12,Insurance Policy,5400
Good Insurance,0,33724,2810.3333333333335,30913.666666666668,0,2810.3333333333335,28103.333333333336,0,2810.3333333333335,25293.000000000004,0,2810.3333333333335,22482.66666666667,12,Insurance Policy,5400
Good Insurance,0,11259,938.25,10320.75,0,938.25,9382.5,0,938.25,8444.25,0,938.25,7506,12,Insurance Policy,5400
Good Insurance,0,23204,1933.6666666666667,21270.333333333332,0,1933.6666666666667,19336.666666666664,0,1933.6666666666667,17402.999999999996,0,1933.6666666666667,15469.33333333333,12,Insurance Policy,5400
Good Insurance,0,11861,988.4166666666666,10872.583333333334,0,988.4166666666666,9884.166666666668,0,988.4166666666666,8895.750000000002,0,988.4166666666666,7907.333333333335,12,Insurance Policy,5400
Good Insurance,0,33695,2807.9166666666665,30887.083333333332,0,2807.9166666666665,28079.166666666664,0,2807.9166666666665,25271.249999999996,0,2807.9166666666665,22463.33333333333,12,Insurance Policy,5400
Good Insurance,0,11259,938.25,10320.75,0,938.25,9382.5,0,938.25,8444.25,0,938.25,7506,12,Insurance Policy,5400
Good Insurance,0,23194,1932.8333333333333,21261.166666666668,0,1932.8333333333333,19328.333333333336,0,1932.8333333333333,17395.500000000004,0,1932.8333333333333,15462.66666666667,12,Insurance Policy,5400
Good Insurance,0,11259,938.25,10320.75,0,938.25,9382.5,0,938.25,8444.25,0,938.25,7506,12,Insurance Policy,5400
Good Insurance,0,33695,2807.9166666666665,30887.083333333332,0,2807.9166666666665,28079.166666666664,0,2807.9166666666665,25271.249999999996,0,2807.9166666666665,22463.33333333333,12,Insurance Policy,5400
Good Insurance,0,23194,1932.8333333333333,21261.166666666668,0,1932.8333333333333,19328.333333333336,0,1932.8333333333333,17395.500000000004,0,1932.8333333333333,15462.66666666667,12,Insurance Policy,5400
Good Insurance,0,11861,988.4166666666666,10872.583333333334,0,988.4166666666666,9884.166666666668,0,988.4166666666666,8895.750000000002,0,988.4166666666666,7907.333333333335,12,Insurance Policy,5400
Good Insurance,0,2193,182.75,2010.25,0,182.75,1827.5,0,182.75,1644.75,0,182.75,1462,12,Insurance Policy,5400
Good Insurance,0,23194,1932.8333333333333,21261.166666666668,0,1932.8333333333333,19328.333333333336,0,1932.8333333333333,17395.500000000004,0,1932.8333333333333,15462.66666666667,12,Insurance Policy,5400
Good Insurance,0,11861,988.4166666666666,10872.583333333334,0,988.4166666666666,9884.166666666668,0,988.4166666666666,8895.750000000002,0,988.4166666666666,7907.333333333335,12,Insurance Policy,5400
Good Insurance,0,11259,938.25,10320.75,0,938.25,9382.5,0,938.25,8444.25,0,938.25,7506,12,Insurance Policy,5400
Good Insurance,0,33695,2807.9166666666665,30887.083333333332,0,2807.9166666666665,28079.166666666664,0,2807.9166666666665,25271.249999999996,0,2807.9166666666665,22463.33333333333,12,Insurance Policy,5400
BCBS,0,5493.27,0,5493.27,5493.27,5493.27,5493.27,5493.27,5493.27,5493.27,5493.27,5493.27,5493.27,1,Healthcare,5015
