series_code,month,version,amount
LM_PARCEL_25,2025-02,draft-release,139.77
LM_PARCEL_25,2025-08,draft-release,146.9
CC_STOR_25,2025-07,draft-release,156.6
LM_PARCEL_25,2025-02,city-release,137.43
CC_STOR_25,2025-05,draft-release,161.3
LM_PARCEL_25,2025-06,city-release,147.59
LM_PARCEL_25,2025-07,draft-release,141.19
CC_STOR_25,2025-08,city-release,158.32
CC_STOR_25,2025-04,city-release,156.78
LM_PARCEL_25,2025-08,city-release,144.44
LM_PARCEL_25,2025-07,city-release,
CC_STOR_25,2025-06,city-release,162.98
LM_PARCEL_25,2025-03,city-release,141.91
LM_PARCEL_25,2025-01,city-release,134.82
CC_STOR_25,2025-03,city-release,151.99
CC_STOR_25,2025-02,city-release,150.56
LM_PARCEL_25,2025-05,draft-release,145.46
LM_PARCEL_25,2025-04,city-release,143.33
CC_STOR_25,2025-07,city-release,153.53
CC_STOR_25,2025-05,city-release,158.14
CC_STOR_25,2025-01,city-release,144.32
CC_STOR_25,2025-01,draft-release,147.21
CC_STOR_25,2025-03,draft-release,155.03
LM_PARCEL_25,2025-05,city-release,143.03
