series_code,month,version,amount
LM_PARCEL_25,2025-06,central-release,145.84
CC_STOR_25,2025-05,central-release,157.03
LM_PARCEL_25,2025-04,central-release,141.63
CC_STOR_25,2025-03,central-release,150.93
LM_PARCEL_25,2025-08,central-release,143.14
LM_PARCEL_25,2025-06,draft-release,143.65
LM_PARCEL_25,2025-02,central-release,136.19
LM_PARCEL_25,2025-01,central-release,133.22
CC_STOR_25,2025-02,central-release,148.92
CC_STOR_25,2025-02,draft-release,146.54
CC_STOR_25,2025-01,central-release,143.31
CC_STOR_25,2025-06,draft-release,158.63
LM_PARCEL_25,2025-03,central-release,140.23
LM_PARCEL_25,2025-05,central-release,141.74
CC_STOR_25,2025-08,draft-release,154.09
CC_STOR_25,2025-04,draft-release,152.59
CC_STOR_25,2025-07,central-release,152.46
LM_PARCEL_25,2025-04,draft-release,139.51
CC_STOR_25,2025-06,central-release,161.21
CC_STOR_25,2025-04,central-release,155.07
LM_PARCEL_25,2025-01,draft-release,131.22
CC_STOR_25,2025-08,central-release,156.6
LM_PARCEL_25,2025-03,draft-release,138.13
LM_PARCEL_25,2025-07,central-release,137.58
