series_name,period,status_flag,amount
Wireline telecom services revenue,2025-03,memo,181.48
Regulated electric utility revenue,2025-03,official,225.42
Regulated electric utility revenue,2025-05,official,234.44
Wireline telecom services revenue,2025-06,memo,186.92
Regulated electric utility revenue,2025-06,memo,234.97
Regulated electric utility revenue,2025-07,memo,225.85
Wireline telecom services revenue,2025-03,official,183.5
Wireline telecom services revenue,2025-06,official,189.0
Wireline telecom services revenue,2025-01,memo,172.4
Wireline telecom services revenue,2025-04,official,187.17
Regulated electric utility revenue,2025-03,memo,228.13
Wireline telecom services revenue,2025-08,official,185.34
Regulated electric utility revenue,2025-05,memo,237.25
Wireline telecom services revenue,2025-08,memo,183.3
Regulated electric utility revenue,2025-02,official,220.91
Wireline telecom services revenue,2025-04,memo,185.11
Wireline telecom services revenue,2025-05,official,190.84
Regulated electric utility revenue,2025-08,official,227.67
Wireline telecom services revenue,2025-02,memo,177.85
Regulated electric utility revenue,2025-01,official,214.15
Regulated electric utility revenue,2025-08,memo,230.4
Wireline telecom services revenue,2025-01,official,174.32
Regulated electric utility revenue,2025-04,official,229.93
Regulated electric utility revenue,2025-02,memo,223.56
Wireline telecom services revenue,2025-05,memo,188.74
Regulated electric utility revenue,2025-06,official,232.18
Wireline telecom services revenue,2025-07,memo,179.66
Regulated electric utility revenue,2025-04,memo,232.69
Regulated electric utility revenue,2025-07,official,223.17
Wireline telecom services revenue,2025-07,official,181.66
Wireline telecom services revenue,2025-02,official,179.83
Regulated electric utility revenue,2025-01,memo,216.72
