Key,Name,Description
LDH,Lactate Dehydrogenase,Conventional reporting range for Lactate Dehydrogenase.
Uric_Acid,Uric Acid,Conventional reporting range for Uric Acid.
Creatinine,Creatinine,Conventional reporting range for Creatinine.
Phosphorus,Phosphorus,Conventional reporting range for Phosphorus.
Calcium,Calcium,Conventional reporting range for Calcium.
Albumin,Albumin,Conventional reporting range for Albumin.
Glucose,Glucose,Conventional reporting range for Glucose.
Magnesium,Magnesium,Conventional reporting range for Magnesium.
Potassium,Potassium,Conventional reporting range for Potassium.
WBC_Count,White Blood Cell Count,Conventional reporting range for White Blood Cell Count.
