Key,Name,Description
Tacrolimus,Tacrolimus Trough,Conventional reporting range for Tacrolimus Trough.
Creatinine,Creatinine,Conventional reporting range for Creatinine.
Magnesium,Magnesium,Conventional reporting range for Magnesium.
Potassium,Potassium,Conventional reporting range for Potassium.
Glucose,Glucose,Conventional reporting range for Glucose.
Bilirubin_Total,Total Bilirubin,Conventional reporting range for Total Bilirubin.
Albumin,Albumin,Conventional reporting range for Albumin.
AST,Aspartate Aminotransferase,Conventional reporting range for Aspartate Aminotransferase.
ALT,Alanine Aminotransferase,Conventional reporting range for Alanine Aminotransferase.
Phosphorus,Phosphorus,Conventional reporting range for Phosphorus.
