ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001991340-25-000003	30-SEP-2025								Strategic Advocates LLC	55 SOUTH MAIN #100		LOGAN	UT	84321	13F HOLDINGS REPORT	028-23432	000316858	801-126262	N	
0001172661-25-005225	30-SEP-2025	N							Lantern Wealth Advisors, LLC	35 PINELAWN ROAD	SUITE 101E	MELVILLE	NY	11747	13F HOLDINGS REPORT	028-23877	000147420	801-79035	N	
0000019617-25-001093	30-SEP-2025	Y	1	NEW HOLDINGS					JPMORGAN CHASE & CO	383 MADISON AVENUE		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-00694			N	
0001420506-25-003503	30-JUN-2025	Y	1	RESTATEMENT	N				Evelyn Partners Investment Management Services Ltd	45 Gresham Street		London	X0	EC2V 7BG	13F HOLDINGS REPORT	028-25686			N	
0002095947-25-000001	30-SEP-2025								KERR FINANCIAL PLANNING Corp	7255 N FIRST STREET	SUITE 101	FRESNO	CA	93720	13F HOLDINGS REPORT	028-25892	000277142	801-133713	N	
0000884548-25-000006	30-SEP-2025								CONNORS INVESTOR SERVICES INC	CONNORS INVESTOR SERVICES	1210 BROADCASTING ROAD	WYOMISSING	PA	19610	13F HOLDINGS REPORT	028-03751			N	
0002024333-25-000006	30-SEP-2025								ALEXANDER LABRUNERIE & CO., INC.	601 NIFONG BLVD.	SUITE 3B	COLUMBIA	MO	65203-6804	13F HOLDINGS REPORT	028-24193	000117153	801-108708	N	
0001085146-25-006013	30-SEP-2025	Y	1	RESTATEMENT	N				WJ Wealth Management, LLC	18275 NORTH 59TH AVENUE B-112		GLENDALE	AZ	85308	13F HOLDINGS REPORT	028-19724			N	
0000890163-25-000012	30-SEP-2025	N							Kimelman & Baird, LLC	800 Third Avenue	Suite 2300	New York	NY	10022	13F HOLDINGS REPORT	028-11298			N	
0001420506-25-003485	30-SEP-2025	N							CHELSEA COUNSEL CO	5855 Topanga canyon blvd.	SUITE 210	Woodland Hills	CA	91367	13F HOLDINGS REPORT	028-10847			N	
0001766918-25-000003	30-SEP-2025	N							Opes Wealth Management LLC	535 MIDDLEFIELD ROAD	SUITE 160	MENLO PARK	CA	94025	13F HOLDINGS REPORT	028-19481	000299704	801-114436	N	
0001483824-25-000007	30-SEP-2025								TD Capital Management LLC	5100 POPLAR AVENUE	SUITE 2904	MEMPHIS	TN	38137	13F HOLDINGS REPORT	028-13750			N	
0001252007-25-000008	30-SEP-2025								GRAYBILL WEALTH MANAGEMENT, LTD.	135 S. COTTAGE HILL AVE		ELMHURST	IL	60126	13F HOLDINGS REPORT	028-10614			N	
0001544204-25-000011	30-SEP-2025	Y	1	RESTATEMENT					Liontrust Investment Partners LLP	2 SAVOY COURT		LONDON	X0	WC2R 0EZ	13F HOLDINGS REPORT	028-20650			Y	Q2 data submitted for Q3 in error
0001544204-25-000010	30-SEP-2025								Liontrust Investment Partners LLP	2 SAVOY COURT		LONDON	X0	WC2R 0EZ	13F HOLDINGS REPORT	028-20650			N	
0001298088-25-000031	30-SEP-2025								CIBC Private Wealth Group LLC	3290 NORTHSIDE PARKWAY	7TH FLOOR	ATLANTA	GA	30327	13F HOLDINGS REPORT	028-10949			N	
0001657733-25-000006	30-SEP-2025								Watts Gwilliam & Co., LLC	2730 S. VAL VISTA DR.	STE 124	GILBERT	AZ	85295	13F HOLDINGS REPORT	028-24179			N	
0001298088-25-000030	30-SEP-2025	Y	1	RESTATEMENT					CIBC Bancorp USA Inc.	120 SOUTH LASALLE	LEGAL DEPARTMENT - 4TH FLOOR	CHICAGO	IL	60603	13F HOLDINGS REPORT	028-21342			N	
0001140361-25-042957	30-JUN-2025	Y	1	NEW HOLDINGS					Royal Bank of Canada	ROYAL BANK PLAZA	200 BAY STREET	TORONTO	A6	M5J 2J5	13F HOLDINGS REPORT	028-11396			N	
0001140361-25-042953	31-MAR-2025	Y	1	RESTATEMENT					ROYAL BANK OF CANADA	ROYAL BANK PLAZA	200 BAY STREET	TORONTO	A6	M5J 2J5	13F HOLDINGS REPORT	028-11396			N	
0001890149-25-000009	30-SEP-2025								Bell Investment Advisors, Inc	2 THEATRE SQUARE, SUITE 315		ORINDA	CA	94563	13F HOLDINGS REPORT	028-21406	000108383	028-21406	N	
0001754960-25-000800	30-SEP-2025	Y	1	RESTATEMENT					TCFG WEALTH MANAGEMENT, LLC	28202 CABOT ROAD, SUITE 300		LAGUNA NIGUEL	CA	92677	13F HOLDINGS REPORT	028-24390			N	
0001172661-25-005216	30-SEP-2025	N							Blue Fin Capital, Inc.	91 Main Street	Suite 118	Warren	RI	02885	13F HOLDINGS REPORT	028-15760	000108451	801-56127	N	
0001172661-25-005215	31-MAR-2025	N							Blue Fin Capital, Inc.	91 Main Street	Suite 118	Warren	RI	02885	13F HOLDINGS REPORT	028-15760	000108451	801-56127	N	
0001569667-25-000013	30-SEP-2025								OARSMAN CAPITAL, INC.	790 N. WATER ST., STE 1850		MILWAUKEE	WI	53202	13F HOLDINGS REPORT	028-15412	000109993		N	
0002034793-25-000011	30-SEP-2025								Ariadne Wealth Management, LP	1255 COAST VILLAGE RD	201A	SANTA BARBARA	CA	93108	13F HOLDINGS REPORT	028-24343	000170999	801-106829	N	
0001847772-25-000005	30-SEP-2025								EMC Capital Management	6363 WOODWAY DR	SUITE 763	HOUSTON	TX	77057	13F HOLDINGS REPORT	028-21069			N	
0001397424-25-000011	30-SEP-2025								WBI INVESTMENTS, LLC	331 NEWMAN SPRINGS ROAD	SUITE 143	RED BANK	NJ	07701	13F HOLDINGS REPORT	028-12525			N	
0001845536-25-000005	30-SEP-2025								Kensington Investment Counsel, LLC	5580 E 2ND STREET	SUITE 209	LONG BEACH	CA	90803	13F HOLDINGS REPORT	028-20923	000108012		N	
0000891943-25-000011	30-SEP-2025								CENTAURUS FINANCIAL, INC.	2300 E. KATELLA AVENUE	SUITE #200	ANAHEIM	CA	92806	13F HOLDINGS REPORT	028-18315	000030833	801-56882	N	
0000900974-25-000010	30-SEP-2025	Y	1	RESTATEMENT					Wilmington Savings Fund Society, FSB	500 DELAWARE AVENUE		WILMINGTON	DE	19801	13F HOLDINGS REPORT	028-03674			N	
0001656282-25-000008	30-SEP-2025								First Affirmative Financial Network	5475 MARK DABLING BLVD.	SUITE 108	COLORADO SPRINGS	CO	80918	13F HOLDINGS REPORT	028-21383	000109036	028-21383	N	
0001475896-25-000006	30-SEP-2025								Asset Dedication, LLC	220 MONTGOMERY ST.	SUITE 1098	SAN FRANCISCO	CA	94104	13F HOLDINGS REPORT	028-17338			N	
0001951757-25-001452	30-SEP-2025								MAYPORT, LLC	300 WASHINGTON STREET	SUITE 814	NEWTON	MA	02458	13F HOLDINGS REPORT	028-22414			N	
0001862682-25-000002	30-SEP-2025	N							Caerus Investment Advisors, LLC	311 LAUREL VALLEY ROAD		WEST LAKE HILLS	TX	78746	13F HOLDINGS REPORT	028-21712			N	
0002071844-25-000489	30-JUN-2025	Y	1	RESTATEMENT					LOM Asset Management Ltd	27 REID STREET		HAMILTON	D0	HM11	13F HOLDINGS REPORT	028-25692			N	
0002011649-25-000008	30-SEP-2025								UP STRATEGIC WEALTH INVESTMENT ADVISORS LLC	444 LIBERTY AVE	SUITE 1400	PITTSBURGH	PA	15222	13F HOLDINGS REPORT	028-23748	000166742	801-130392	N	
0001398344-25-021081	30-SEP-2025	N							Faithward Advisors, LLC	275 HESS BLVD		LANCASTER	PA	17601	13F HOLDINGS REPORT	028-19635	000116978	801-61471	N	
0001062993-25-016949	30-SEP-2025	N							Sunbelt Securities, Inc.	2700 POST OAK BLVD, SUITE 1700		HOUSTON	TX	77056	13F HOLDINGS REPORT	028-16583	000042180	801-71479	N	
0001062993-25-016947	30-SEP-2025	N							CAPTRUST FINANCIAL ADVISORS	4208 SIX FORKS ROAD, SUITE 1700		RALEIGH	NC	27609	13F HOLDINGS REPORT	028-14079	000175112	801-62193	N	
0001082339-25-000008	30-SEP-2025								COLDSTREAM CAPITAL MANAGEMENT INC	ONE 100TH AVENUE NE	SUITE 102	BELLEVUE	WA	98004	13F HOLDINGS REPORT	028-04387			N	
0001062993-25-016944	30-SEP-2025	N							Aldebaran Financial Inc.	200 COLONIAL HEIGHTS RD.		KINGSPORT	TN	37663	13F HOLDINGS REPORT	028-15879			N	
0001104659-25-114006	30-SEP-2025	Y	1	RESTATEMENT	N				DANSKE BANK A/S	HOLMENS KANAL 2-12		COPENHAGEN K	G7	1092	13F HOLDINGS REPORT	028-25849			N	
0001281761-25-000084	30-SEP-2025	Y	1	NEW HOLDINGS					REGIONS FINANCIAL CORP	1900 FIFTH AVENUE NORTH		BIRMINGHAM	AL	35203	13F HOLDINGS REPORT	028-10938			N	
0001281761-25-000083	30-SEP-2025								REGIONS FINANCIAL CORP	1900 FIFTH AVENUE NORTH		BIRMINGHAM	AL	35203	13F HOLDINGS REPORT	028-10938			N	
0001963355-25-000013	30-SEP-2025								Caitong International Asset Management Co., Ltd	UNIT 2401-05, GRAND MILLENNIUM PLAZA	181 QUEEN'S ROAD CENTRAL	HONG KONG	K3	00000	13F HOLDINGS REPORT	028-25133			N	
0001598304-25-000003	30-SEP-2025								GM Advisory Group, LLC	400 BROADHOLLOW ROAD	SUITE 301	MELVILLE	NY	11747	13F HOLDINGS REPORT	028-15726	000147592	801-69418	N	
