ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001667731-25-001240	30-JUN-2025	N							Stark Wealth Management LLC	79 W. Market Street	Suite 100	Bethlehem	PA	18018	13F HOLDINGS REPORT	028-25769			N	
0000950123-25-008608	30-JUN-2025	N							Spinnaker Asset Management - SAM LTD	c/o Spinnaker Capital CGR Ltda	AL SANTOS 1940	Sao Paulo - SP	D5	01418-200	13F NOTICE	028-12864		802-75616	N	
0001172661-25-003849	30-JUN-2025	N							Barnes Wealth Management Group, Inc	5060 California Avenue	Suite 600	Bakersfield	CA	93309	13F HOLDINGS REPORT	028-25557			N	
0001214659-25-012848	30-JUN-2024	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012850	31-DEC-2024	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012852	30-JUN-2025	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012851	31-MAR-2025	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012849	30-SEP-2024	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012847	31-MAR-2024	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012843	31-MAR-2023	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012846	31-DEC-2023	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012845	30-SEP-2023	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012844	30-JUN-2023	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012841	30-SEP-2022	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012839	31-MAR-2022	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012842	31-DEC-2022	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012840	30-JUN-2022	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012838	31-DEC-2021	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012837	30-SEP-2021	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012836	30-JUN-2021	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012834	31-MAR-2021	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001214659-25-012832	31-DEC-2020	N							Seneca Financial Advisors LLC	500 LINDEN OAKS, SUITE 150		ROCHESTER	NY	14625	13F HOLDINGS REPORT	028-25764			N	
0001420506-25-002458	30-JUN-2025	N							Provident Investment Management, Inc.	39555 Orchard HIll Place, Ste. 139		NOVI	MI	48375	13F HOLDINGS REPORT	028-13006			N	
0001213900-25-080559	30-JUN-2025	N							Claris Financial LLC	4510 Cox Rd	Suite 302	GLEN ALLEN	VA	23060	13F HOLDINGS REPORT	028-25638	000168503		N	
0001398344-25-016593	30-JUN-2025	N							SevenOneSeven Capital Management	275 HESS BLVD	STE 202	LANCASTER	PA	17601	13F NOTICE	028-20951	000305092	801-117445	N	
0001214659-25-012726	30-JUN-2025	N							Nautilus Advisors LLC	888 Prospect St Suite 200		La Jolla	CA	92037	13F HOLDINGS REPORT	028-25761	000154169	801-71754	N	
0001214659-25-012724	31-DEC-2024	N							Nautilus Advisors LLC	888 Prospect St Suite 200		La Jolla	CA	92037	13F HOLDINGS REPORT	028-25761	000154169	801-71754	N	
0001214659-25-012725	31-MAR-2025	N							Nautilus Advisors LLC	888 PROSPECT ST SUITE 200		LA JOLLA	CA	92037	13F HOLDINGS REPORT	028-25761	000154169	801-71754	N	
0000950123-25-008566	30-JUN-2025	N							Cypress Insurance Co	1314 Douglas Street		Omaha	NE	68102	13F NOTICE	028-06102			N	
