tx_id,team_code,expense_category,amount,fiscal_quarter
300001,T113,Software,31464.1,Q3
300002,T117,Office,34458.39,Q1
300003,T105,Software,30284.63,Q1
300004,T115,Travel,7404.74,Q3
300005,T106,Personnel,17193.53,Q4
300006,T105,Software,11358.77,Q4
300007,T101,Software,1739.26,Q4
300008,T116,Consulting,23861.54,Q4
300009,T103,Travel,7364.11,Q2
300010,T114,Hardware,5645.77,Q1
300011,T117,Personnel,35511.7,Q4
300012,T114,Hardware,35440.08,Q1
300013,T119,Hardware,15931.33,Q4
300014,T114,Training,2699.89,Q3
300015,T110,Travel,41188.82,Q2
300016,T102,Personnel,25957.21,Q3
300017,T110,Personnel,7487.2,Q1
300018,T112,Training,37984.3,Q2
300019,T108,Consulting,23881.25,Q1
300020,T105,Consulting,-4896.48,Q4
300021,T117,Consulting,39005.68,Q2
300022,T116,Hardware,34946.15,Q3
300023,T117,Training,37305.09,Q4
300024,T102,Office,34639.51,Q3
300025,T106,Travel,41272.82,Q4
300026,T113,Software,49563.19,Q1
300027,T111,Travel,19926.58,Q3
300028,T113,Office,8377.87,Q3
300029,T107,Hardware,25045.94,Q2
300030,T114,Training,41426.86,Q4
300031,T105,Personnel,41627.72,Q2
300032,T115,Travel,49567.62,Q3
300033,T115,Software,10620.25,Q4
300034,T106,Consulting,17069.03,Q3
300035,T117,Personnel,4189.2,Q1
300036,T108,Hardware,15426.17,Q4
300037,T107,Office,21229.91,Q4
300038,T101,Hardware,49668.91,Q2
300039,T113,Personnel,39307.34,Q1
300040,T111,Personnel,16280.53,Q2
300041,T115,Consulting,6493.46,Q4
300042,T104,Travel,41152.53,Q3
300043,T108,Hardware,44453.57,Q4
300044,T110,Office,5640.31,Q3
300045,T112,Office,30266.37,Q4
300046,T110,Personnel,26794.27,Q3
300047,T106,Travel,39517.01,Q1
300048,T104,Hardware,29259.33,Q1
300049,T110,Office,1657.15,Q3
300050,T116,Software,-1769.47,Q3
300051,T116,Training,14996.96,Q3
300052,T111,Hardware,25802.5,Q4
300053,T118,Software,4622.92,Q2
300054,T115,Personnel,6842.08,Q4
300055,T117,Hardware,44750.4,Q4
